File;Translation key;en;nl;de;fr;it;sv;no;es;da;ru;pl
.homeycompose/locales;no;No;;;;;;;;;;
.homeycompose/locales;unavailable;This device hasn't reported values for a while and is marked as unavailable. Please verify its internet connection.;;;;;;;;;;
.homeycompose/locales;yes;Yes;;;;;;;;;;
.homeycompose\app.json;description;Empowering the world to breathe better;;;;;;;;;;
.homeycompose\app.json;name;Airthings;;;;;;;;;;
.homeycompose\capabilities\alarm_humidity.json;title;Humidity alarm;;;;;;;;;;
.homeycompose\capabilities\alarm_mold_risk.json;title;Mold risk alarm;;;;;;;;;;
.homeycompose\capabilities\alarm_pm1.json;title;PM1 alarm;;;;;;;;;;
.homeycompose\capabilities\alarm_radon.json;title;Radon alarm;;;;;;;;;;
.homeycompose\capabilities\alarm_temperature.json;title;Temperature alarm;;;;;;;;;;
.homeycompose\capabilities\alarm_voc.json;title;VOC alarm;;;;;;;;;;
.homeycompose\capabilities\measure_mold_risk.json;desc;Mold risk (0 - 10);;;;;;;;;;
.homeycompose\capabilities\measure_mold_risk.json;title;Mold risk;;;;;;;;;;
.homeycompose\capabilities\measure_pm1.json;desc;Atmospheric particulate matter (μg/m³);Deeltjesvormige luchtverontreiniging (μg/m³);Atmosphärischer Feinstaub (μg/m³);Particules en suspension (μg/m³);Particolato atmosferico (μg/m³);Atmosfäriskt partikelämne (μg/m³);Atmosfæriske partikler (μg/m³);Partículas atmosféricas (μg/m³);Atmosfæriske partikler (μg/m³);Атмосферные твердые частицы (мкг/м³);Pył zawieszony (μg/m³)
.homeycompose\capabilities\measure_pm1.json;title;PM1;PM1;PM1;PM1;PM1;PM1;PM1;PM1;;ТЧ 1;PM1
.homeycompose\capabilities\measure_pm1.json;units;μg/m³;;;;;;;;;мкг/м³;
.homeycompose\capabilities\measure_radon.json;desc;Radon radiation (Bq/m³);;;;;;;;;;
.homeycompose\capabilities\measure_radon.json;title;Radon;;;;;;;;;;
.homeycompose\capabilities\measure_radon.json;units;Bq/m³;;;;;;;;;;
.homeycompose\capabilities\measure_voc.json;desc;Volatile organic compound concentration (ppb);;;;;;;;;;
.homeycompose\capabilities\measure_voc.json;title;VOC;;;;;;;;;;
.homeycompose\capabilities\measure_voc.json;units;ppb;;;;;;;;;;
.homeycompose\drivers\settings\co2_threshold.json;hint;< 800 is great, 180 - 1000 is okay and >= 1000 is bad.;;;;;;;;;;
.homeycompose\drivers\settings\co2_threshold.json;label;Alarm threshold;;;;;;;;;;
.homeycompose\drivers\settings\co2_threshold.json;units;ppm;;;;;;;;;;
.homeycompose\drivers\settings\humidity_high_threshold.json;hint;< 60 is great, 60 - 70 is okay and >= 70 is bad.;;;;;;;;;;
.homeycompose\drivers\settings\humidity_high_threshold.json;label;High alarm threshold;;;;;;;;;;
.homeycompose\drivers\settings\humidity_high_threshold.json;units;%;;;;;;;;;;
.homeycompose\drivers\settings\humidity_low_threshold.json;hint;< 25 is bad, 25 - 30 is okay and >= 30 is great.;;;;;;;;;;
.homeycompose\drivers\settings\humidity_low_threshold.json;label;Low alarm threshold;;;;;;;;;;
.homeycompose\drivers\settings\humidity_low_threshold.json;units;%;;;;;;;;;;
.homeycompose\drivers\settings\mold_risk_threshold.json;hint;< 3 is great, 3 - 6 is okay and >= 6 is bad.;;;;;;;;;;
.homeycompose\drivers\settings\mold_risk_threshold.json;label;Alarm threshold;;;;;;;;;;
.homeycompose\drivers\settings\pm1_threshold.json;hint;< 10 is great, 10 - 35 is okay and >= 35 is bad.;;;;;;;;;;
.homeycompose\drivers\settings\pm1_threshold.json;label;Alarm threshold;;;;;;;;;;
.homeycompose\drivers\settings\pm1_threshold.json;units;μg/m³;;;;;;;;;;
.homeycompose\drivers\settings\pm25_threshold.json;hint;< 10 is great, 10 - 35 is okay and >= 35 is bad.;;;;;;;;;;
.homeycompose\drivers\settings\pm25_threshold.json;label;Alarm threshold;;;;;;;;;;
.homeycompose\drivers\settings\pm25_threshold.json;units;μg/m³;;;;;;;;;;
.homeycompose\drivers\settings\radon_threshold.json;hint;< 100 is great, 100 - 150 is okay and >= 150 is bad.;;;;;;;;;;
.homeycompose\drivers\settings\radon_threshold.json;label;Alarm threshold;;;;;;;;;;
.homeycompose\drivers\settings\radon_threshold.json;units;Bq/m³;;;;;;;;;;
.homeycompose\drivers\settings\sensor_available.json;hint;Indicates whether this sensor alarm is available for your device.;;;;;;;;;;
.homeycompose\drivers\settings\sensor_available.json;label;Sensor alarm available;;;;;;;;;;
.homeycompose\drivers\settings\temperature_high_threshold.json;hint;< 18 is cold, 18 - 25 is okay and >= 25 is hot.;;;;;;;;;;
.homeycompose\drivers\settings\temperature_high_threshold.json;label;High alarm threshold;;;;;;;;;;
.homeycompose\drivers\settings\temperature_high_threshold.json;units;°C;;;;;;;;;;
.homeycompose\drivers\settings\temperature_low_threshold.json;hint;< 18 is cold, 18 - 25 is okay and >= 25 is hot.;;;;;;;;;;
.homeycompose\drivers\settings\temperature_low_threshold.json;label;High alarm threshold;;;;;;;;;;
.homeycompose\drivers\settings\temperature_low_threshold.json;units;°C;;;;;;;;;;
.homeycompose\drivers\settings\voc_threshold.json;hint;< 250 is great, 250 - 2000 is okay and >= 2000 is bad.;;;;;;;;;;
.homeycompose\drivers\settings\voc_threshold.json;label;Alarm threshold;;;;;;;;;;
.homeycompose\drivers\settings\voc_threshold.json;units;ppb;;;;;;;;;;
.homeycompose\flow\conditions\alarm_humidity.json;title;The humidity alarm is !{{on|off}};;;;;;;;;;
.homeycompose\flow\conditions\alarm_mold_risk.json;title;The mold risk alarm is !{{on|off}};;;;;;;;;;
.homeycompose\flow\conditions\alarm_pm1.json;title;The PM1 alarm is !{{on|off}};;;;;;;;;;
.homeycompose\flow\conditions\alarm_radon.json;title;The radon alarm is !{{on|off}};;;;;;;;;;
.homeycompose\flow\conditions\alarm_temperature.json;title;The temperature alarm is !{{on|off}};;;;;;;;;;
.homeycompose\flow\conditions\alarm_voc.json;title;The VOC alarm is !{{on|off}};;;;;;;;;;
.homeycompose\flow\triggers\alarm_humidity_false.json;title;Humidity alarm turned off;;;;;;;;;;
.homeycompose\flow\triggers\alarm_humidity_true.json;title;Humidity alarm turned on;;;;;;;;;;
.homeycompose\flow\triggers\alarm_mold_risk_false.json;title;Mold risk alarm turned off;;;;;;;;;;
.homeycompose\flow\triggers\alarm_mold_risk_true.json;title;Mold risk alarm turned on;;;;;;;;;;
.homeycompose\flow\triggers\alarm_pm1_false.json;title;PM1 alarm turned off;;;;;;;;;;
.homeycompose\flow\triggers\alarm_pm1_true.json;title;PM1 alarm turned on;;;;;;;;;;
.homeycompose\flow\triggers\alarm_radon_false.json;title;Radon alarm turned off;;;;;;;;;;
.homeycompose\flow\triggers\alarm_radon_true.json;title;Radon alarm turned on;;;;;;;;;;
.homeycompose\flow\triggers\alarm_temperature_false.json;title;Temperature alarm turned off;;;;;;;;;;
.homeycompose\flow\triggers\alarm_temperature_true.json;title;Temperature alarm turned on;;;;;;;;;;
.homeycompose\flow\triggers\alarm_voc_false.json;title;VOC alarm turned off;;;;;;;;;;
.homeycompose\flow\triggers\alarm_voc_true.json;title;VOC alarm turned on;;;;;;;;;;
.homeycompose\flow\triggers\measure_mold_risk_changed.json;title;The mold risk value has changed;;;;;;;;;;
.homeycompose\flow\triggers\measure_mold_risk_changed.json;titleFormatted;The mold risk value has changed;;;;;;;;;;
.homeycompose\flow\triggers\measure_mold_risk_changed.json;tokens[0].title;Mold risk;;;;;;;;;;
.homeycompose\flow\triggers\measure_pm1_changed.json;title;The PM1 value has changed;De PM1 waarde is veranderd;Der PM1-Wert hat sich geändert;La valeur PM1 a changé;Il valore di PM1 è cambiato;PM1-värdet har ändrats;PM1-verdien er endret;El valor de PM1 ha cambiado;PM1-værdien har ændret sig;Значение ТЧ 1 изменилось;Zmiana poziomu stężenia PM1
.homeycompose\flow\triggers\measure_pm1_changed.json;titleFormatted;The PM1 value has changed;De PM1 waarde is veranderd;Der PM1-Wert hat sich geändert;La valeur PM1 a changé;Il valore di PM1 è cambiato;PM1-värdet har ändrats;PM1-verdien er endret;El valor de PM1 ha cambiado;PM1-værdien har ændret sig;Значение ТЧ 1 изменилось;Zmiana poziomu stężenia PM1
.homeycompose\flow\triggers\measure_pm1_changed.json;tokens[0].title;PM1;PM1;PM1;PM1;PM1;PM1;PM1;PM1;;ТЧ 1;PM1
.homeycompose\flow\triggers\measure_radon_changed.json;title;The Radon radiation value has changed;;;;;;;;;;
.homeycompose\flow\triggers\measure_radon_changed.json;titleFormatted;The Radon radiation value has changed;;;;;;;;;;
.homeycompose\flow\triggers\measure_radon_changed.json;tokens[0].title;Radon radiation;;;;;;;;;;
.homeycompose\flow\triggers\measure_voc_changed.json;title;The VOC value has changed;;;;;;;;;;
.homeycompose\flow\triggers\measure_voc_changed.json;titleFormatted;The VOC value has changed;;;;;;;;;;
.homeycompose\flow\triggers\measure_voc_changed.json;tokens[0].title;VOC concentration;;;;;;;;;;
drivers\cloud_view_series\driver.compose.json;name;View Series;;;;;;;;;;
drivers\cloud_view_series\driver.settings.compose.json;[0].label;Radon;;;;;;;;;;
drivers\cloud_view_series\driver.settings.compose.json;[1].label;CO2;;;;;;;;;;
drivers\cloud_view_series\driver.settings.compose.json;[2].label;VOC;;;;;;;;;;
drivers\cloud_view_series\driver.settings.compose.json;[3].label;PM2.5;;;;;;;;;;
drivers\cloud_view_series\driver.settings.compose.json;[4].label;PM1;;;;;;;;;;
drivers\cloud_view_series\driver.settings.compose.json;[5].label;Humidity;;;;;;;;;;
drivers\cloud_view_series\driver.settings.compose.json;[6].label;Temperature;;;;;;;;;;
drivers\cloud_wave_series\driver.compose.json;name;Wave Series;;;;;;;;;;
drivers\cloud_wave_series\driver.settings.compose.json;[0].label;Mold risk;;;;;;;;;;
drivers\cloud_wave_series\driver.settings.compose.json;[1].label;Radon;;;;;;;;;;
drivers\cloud_wave_series\driver.settings.compose.json;[2].label;CO2;;;;;;;;;;
drivers\cloud_wave_series\driver.settings.compose.json;[3].label;VOC;;;;;;;;;;
drivers\cloud_wave_series\driver.settings.compose.json;[4].label;Humidity;;;;;;;;;;
drivers\cloud_wave_series\driver.settings.compose.json;[5].label;Temperature;;;;;;;;;;
